discharge_nr	date	T0	T1	T6
1	20230316	1678952622329000000	1678952682329000000	1678952691925000000
2	20230316	1678952737849000000	1678952797849000000	1678952808749000000
3	20230316	1678953102719000000	1678953254720000000	1678953265620000000
4	20230316	1678953658710000000	1678953718710000000	1678953836710000000
5	20230316	1678954040506000000	1678954100506000000	1678954122916000000
6	20230316	1678954443237000000	1678954503237000000	1678954519452000000
7	20230316	1678955366507000000	1678955426507000000	1678955442871000000
8	20230316	1678955680329000000	1678955740329000000	1678955759339000000
9	20230316	1678955955496000000	1678956015496000000	1678956044506000000
10	20230316	1678956159242000000	1678956219242000000	1678956228942000000
11	20230316	1678956552343000000	1678956612343000000	1678956641353000000
12	20230316	1678956778427000000	1678956838427000000	1678956877437000000
13	20230316	1678956958879000000	1678957018879000000	1678957028579000000
14	20230316	1678957106126000000	1678957166126000000	1678957195136000000
15	20230316	1678957389640000000	1678957449640000000	1678957461937000000
16	20230316	1678958111741000000	1678958171741000000	1678958200751000000
17	20230316	1678958411002000000	1678958471002000000	1678958490012000000
18	20230316	1678958637334000000	1678958697334000000	1678958716344000000
19	20230316	1678958809891000000	1678958869891000000	1678958888901000000
20	20230316	1678959100499000000	1678959160499000000	1678959189509000000
21	20230316	1678959374290000000	1678959434290000000	1678959453300000000
22	20230316	1678959526514000000	1678959586514000000	1678959605524000000
23	20230316	1678959931406000000	1678959991406000000	1678960020416000000
24	20230316	1678960150781000000	1678960210781000000	1678960229791000000
25	20230316	1678960457465000000	1678960517465000000	1678960635465000000
26	20230316	1678960858063000000	1678960918063000000	1678960937073000000
27	20230316	1678961358935000000	1678961418935000000	1678961437945000000
28	20230316	1678961606074000000	1678961666074000000	1678961695084000000
29	20230316	1678961811054000000	1678961871054000000	1678961900064000000
30	20230316	1678962168443000000	1678962228443000000	1678962267453000000
31	20230316	1678963035971000000	1678963095971000000	1678963124981000000
32	20230316	1678963375404000000	1678963435404000000	1678963454414000000
33	20230316	1678963594230000000	1678963654230000000	1678963673240000000
34	20230316	1678963835020000000	1678963895020000000	1678963924030000000
35	20230316	1678964271518000000	1678964331518000000	1678964350528000000
36	20230316	1678964597994000000	1678964657994000000	1678964687004000000
37	20230316	1678964922023000000	1678964982023000000	1678965021033000000
38	20230316	1678965440570000000	1678965500570000000	1678965569580000000
39	20230316	1678965912256000000	1678965972256000000	1678966001266000000
40	20230316	1678966169450000000	1678966229450000000	1678966347450000000
41	20230316	1678966575585000000	1678966635585000000	1678966674595000000
42	20230316	1678966769592000000	1678966829592000000	1678966858602000000
43	20230316	1678967042758000000	1678967102758000000	1678967141768000000
44	20230316	1678967366676000000	1678967426676000000	1678967495686000000
45	20230316	1678967683292000000	1678967743292000000	1678967772302000000
46	20230316	1678968132508000000	1678968192508000000	1678968221518000000
47	20230316	1678968488279000000	1678968548279000000	1678968577289000000
48	20230316	1678968693993000000	1678968753993000000	1678968783003000000
49	20230316	1678969111901000000	1678969171901000000	1678969210911000000
50	20230316	1678969372872000000	1678969432872000000	1678969471882000000
51	20230316	1678969611368000000	1678969671368000000	1678969690378000000
52	20230316	1678971233978000000	1678971293978000000	1678971312988000000
53	20230316	1678971501032000000	1678971561032000000	1678971580042000000
54	20230316	1678971703743000000	1678971763743000000	1678971782753000000
55	20230316	1678971961089000000	1678972021089000000	1678972040099000000
56	20230316	1678972206676000000	1678972266676000000	1678972285686000000
57	20230316	1678972513568000000	1678972573568000000	1678972592578000000
58	20230316	1678972818875000000	1678972878875000000	1678972895885000000
59	20230316	1678973076254000000	1678973136254000000	1678973155264000000
60	20230316	1678973243356000000	1678973303356000000	1678973319695000000
61	20230316	1678973683983000000	1678973743983000000	1678973760993000000
62	20230316	1678973841283000000	1678973901283000000	1678973920293000000
63	20230316	1678974392158000000	1678974452158000000	1678974476168000000
64	20230316	1678975251908000000	1678975311908000000	1678975331918000000
65	20230316	1678975510551000000	1678975570551000000	1678975594561000000
66	20230316	1678976183637000000	1678976243637000000	1678976263647000000
67	20230316	1678976498025000000	1678976558025000000	1678976582035000000
68	20230316	1678976763252000000	1678976823252000000	1678976847262000000
69	20230316	1678977099663000000	1678977159663000000	1678977179673000000
70	20230316	1678977603625000000	1678977663625000000	1678977781625000000
71	20230316	1678977840531000000	1678977900531000000	1678978018531000000
72	20230316	1678978227278000000	1678978287278000000	1678978311288000000
73	20230316	1678978688291000000	1678978748291000000	1678978768301000000
74	20230316	1678979277420000000	1678979337420000000	1678979361430000000
75	20230316	1678979439448000000	1678979499448000000	1678979523458000000
76	20230316	1678979846049000000	1678979906049000000	1678979926059000000
77	20230316	1678980223774000000	1678980283774000000	1678980307784000000
78	20230316	1678980399414000000	1678980459414000000	1678980483424000000
79	20230316	1678980923263000000	1678980983263000000	1678981003273000000
80	20230316	1678981170733000000	1678981230733000000	1678981254743000000
81	20230316	1678981358170000000	1678981418170000000	1678981442180000000
82	20230316	1678982085157000000	1678982145157000000	1678982162167000000
83	20230316	1678982336028000000	1678982396028000000	1678982415038000000
84	20230316	1678982500209000000	1678982560209000000	1678982579219000000
85	20230316	1678982689796000000	1678982749796000000	1678982768806000000
86	20230316	1678982854413000000	1678982914413000000	1678982934423000000
87	20230316	1678983043932000000	1678983103932000000	1678983122942000000
88	20230316	1678983221352000000	1678983281352000000	1678983300362000000
89	20230316	1678983417351000000	1678983477351000000	1678983496361000000
90	20230316	1678983568737000000	1678983628737000000	1678983645747000000
91	20230316	1678983823994000000	1678983883994000000	1678983908004000000
92	20230316	1678984130507000000	1678984190507000000	1678984214517000000
