discharge_nr	date	T0	T1	T6
1	20221214	1671005698752000000	1671005758752000000	1671005768452000000
2	20221214	1671005945676000000	1671006005676000000	1671006016576000000
3	20221214	1671006149849000000	1671006334849000000	1671006345749000000
4	20221214	0	0	0
5	20221214	1671010238634000000	1671010298634000000	1671010308334000000
6	20221214	1671010482300000000	1671010542300000000	1671010660310000000
7	20221214	1671011340076000000	1671011400076000000	1671011422486000000
8	20221214	1671011512414000000	1671011572414000000	1671011594824000000
9	20221214	1671012159407000000	1671012219407000000	1671012241817000000
10	20221214	1671012884922000000	1671012944922000000	1671012967332000000
11	20221214	1671013095019000000	1671013155019000000	1671013177429000000
12	20221214	1671014207489000000	1671014267489000000	1671014289899000000
13	20221214	1671014468223000000	1671014528223000000	1671014546233000000
14	20221214	1671014755371000000	1671014815371000000	1671014836381000000
15	20221214	1671015006023000000	1671015066023000000	1671015087033000000
16	20221214	1671015460321000000	1671015520321000000	1671015541331000000
17	20221214	1671015760689000000	1671015820689000000	1671015938699000000
18	20221214	1671015976804000000	1671016036804000000	1671016154814000000
19	20221214	1671016306300000000	1671016366300000000	1671016387310000000
20	20221214	1671016694919000000	1671016754919000000	1671016775929000000
21	20221214	1671017117055000000	1671017177055000000	1671017192065000000
22	20221214	1671017490283000000	1671017550283000000	1671017565293000000
23	20221214	1671018030238000000	1671018090238000000	1671018105248000000
24	20221214	1671018349930000000	1671018409930000000	1671018424940000000
25	20221214	1671018645408000000	1671018705408000000	1671018720418000000
26	20221214	1671019025621000000	1671019085621000000	1671019100631000000
27	20221214	1671019198790000000	1671019258790000000	1671019273800000000
28	20221214	1671019704219000000	1671019764219000000	1671019779229000000
29	20221214	1671020061422000000	1671020121422000000	1671020136432000000
30	20221214	1671020562851000000	1671020622851000000	1671020637861000000
31	20221214	1671020824373000000	1671020884373000000	1671020899383000000
32	20221214	1671021257129000000	1671021317129000000	1671021332139000000
33	20221214	1671021599069000000	1671021659069000000	1671021674079000000
34	20221214	1671021967887000000	1671022027887000000	1671022042897000000
35	20221214	1671022512413000000	1671022572413000000	1671022587423000000
36	20221214	1671022876327000000	1671022936327000000	1671022951337000000
37	20221214	1671023640274000000	1671023700274000000	1671023715284000000
38	20221214	1671023911357000000	1671023971357000000	1671023986367000000
39	20221214	1671024445878000000	1671024505878000000	1671024520888000000
40	20221214	1671024752313000000	1671024812313000000	1671024827323000000
41	20221214	1671025110858000000	1671025170858000000	1671025185868000000
42	20221214	1671025484715000000	1671025544715000000	1671025559725000000
43	20221214	1671025726295000000	1671025786295000000	1671025801305000000
44	20221214	1671025969117000000	1671026029117000000	1671026044127000000
45	20221214	1671026441686000000	1671026501686000000	1671026516696000000
46	20221214	1671026690449000000	1671026750449000000	1671026765459000000
47	20221214	1671027088154000000	1671027148154000000	1671027169164000000
48	20221214	1671027337399000000	1671027397399000000	1671027417409000000
49	20221214	1671028484090000000	1671028544090000000	1671028566100000000
50	20221214	1671029234175000000	1671029294175000000	1671029316185000000
51	20221214	1671029549005000000	1671029609005000000	1671029623266000000
52	20221214	1671029926923000000	1671029986923000000	1671030008933000000
53	20221214	1671031427278000000	1671031487278000000	1671031509288000000
54	20221214	1671032564300000000	1671032624300000000	1671032649310000000
55	20221214	1671033266854000000	1671033326854000000	1671033351864000000
56	20221214	1671033485864000000	1671033545864000000	1671033570874000000
57	20221214	1671033704560000000	1671033764560000000	1671033789570000000
58	20221214	1671033910079000000	1671033970079000000	1671033995089000000
59	20221214	1671034782950000000	1671034842950000000	1671034865460000000
60	20221214	1671035167621000000	1671035227621000000	1671035249631000000
