discharge_nr	date	T0	T1	T6
1	20230223	1677138519040000000	1677138579040000000	1677138589940000000
2	20230223	1677138676159000000	1677138808160000000	1677138819060000000
3	20230223	1677138968398000000	1677139028398000000	1677139038049000000
4	20230223	1677139094664000000	1677139154664000000	1677139164249000000
5	20230223	1677139612505000000	1677139672505000000	1677139682086000000
6	20230223	1677139824105000000	1677139884105000000	1677140002105000000
7	20230223	1677140256428000000	1677140316428000000	1677140338838000000
8	20230223	1677141019879000000	1677141079879000000	1677141097889000000
9	20230223	1677142121092000000	1677142181092000000	1677142205102000000
10	20230223	1677142661312000000	1677142721312000000	1677142745322000000
11	20230223	1677143052876000000	1677143112876000000	1677143122576000000
12	20230223	1677143173346000000	1677143233346000000	1677143257356000000
13	20230223	1677143960118000000	1677144020118000000	1677144037128000000
14	20230223	1677144366600000000	1677144426600000000	1677144544600000000
15	20230223	1677145010409000000	1677145070409000000	1677145090419000000
16	20230223	1677145380145000000	1677145440145000000	1677145454440000000
17	20230223	1677146057421000000	1677146117421000000	1677146137431000000
18	20230223	1677146225195000000	1677146285195000000	1677146314205000000
19	20230223	1677146615644000000	1677146675644000000	1677146704654000000
20	20230223	1677146781044000000	1677146841044000000	1677146861054000000
21	20230223	1677147474807000000	1677147534807000000	1677147550121000000
22	20230223	1677148137503000000	1677148197503000000	1677148208792000000
23	20230223	1677148392945000000	1677148452945000000	1677148468278000000
24	20230223	1677148950323000000	1677149010323000000	1677149034333000000
25	20230223	1677149325609000000	1677149385609000000	1677149405619000000
26	20230223	1677149656595000000	1677149716595000000	1677149740605000000
27	20230223	1677150234104000000	1677150294104000000	1677150314114000000
28	20230223	1677150604591000000	1677150664591000000	1677150703601000000
29	20230223	1677151224268000000	1677151284268000000	1677151299590000000
30	20230223	1677152163573000000	1677152223573000000	1677152244583000000
31	20230223	1677152479335000000	1677152539335000000	1677152568345000000
32	20230223	1677152888045000000	1677152948045000000	1677153066045000000
33	20230223	1677153357519000000	1677153417519000000	1677153438529000000
34	20230223	1677153801800000000	1677153861800000000	1677153890810000000
35	20230223	1677154534498000000	1677154594498000000	1677154615508000000
36	20230223	1677154878449000000	1677154938449000000	1677155056449000000
37	20230223	1677155464844000000	1677155524844000000	1677155545854000000
38	20230223	1677156406435000000	1677156466435000000	1677156487445000000
39	20230223	1677156713854000000	1677156773854000000	1677156783142000000
40	20230223	1677157115096000000	1677157175096000000	1677157196106000000
41	20230223	1677157433925000000	1677157493925000000	1677157510935000000
42	20230223	1677158109788000000	1677158241789000000	1677158252689000000
43	20230223	1677158484588000000	1677158544588000000	1677158566998000000
44	20230223	1677158987271000000	1677159047271000000	1677159061281000000
45	20230223	1677159284539000000	1677159344539000000	1677159358549000000
46	20230223	1677159683842000000	1677159743842000000	1677159762852000000
47	20230223	1677160492642000000	1677160552642000000	1677160596652000000
48	20230223	1677160849308000000	1677160909308000000	1677161027308000000
49	20230223	1677161247470000000	1677161307470000000	1677161328480000000
50	20230223	1677161689670000000	1677161749670000000	1677161770680000000
51	20230223	1677162382677000000	1677162442677000000	1677162463687000000
52	20230223	1677162750594000000	1677162810594000000	1677162928594000000
53	20230223	1677162992707000000	1677163052707000000	1677163170707000000
54	20230223	1677163395994000000	1677163455994000000	1677163477004000000
55	20230223	1677163678834000000	1677163738834000000	1677163759844000000
56	20230223	1677164046272000000	1677164106272000000	1677164127282000000
57	20230223	1677164254343000000	1677164314343000000	1677164335353000000
58	20230223	1677164681091000000	1677164741091000000	1677164785101000000
59	20230223	1677164920276000000	1677164980276000000	1677165098276000000
60	20230223	1677165147605000000	1677165207605000000	1677165325605000000
61	20230223	1677165551869000000	1677165611869000000	1677165632879000000
62	20230223	1677165706668000000	1677165766668000000	1677165787678000000
63	20230223	1677165895391000000	1677165955391000000	1677165976401000000
64	20230223	1677166077494000000	1677166137494000000	1677166158504000000
65	20230223	1677166220420000000	1677166280420000000	1677166301430000000
66	20230223	1677166548672000000	1677166608672000000	1677166629682000000
67	20230223	1677166898948000000	1677166958948000000	1677166979958000000
68	20230223	1677167042283000000	1677167102283000000	1677167123293000000
69	20230223	1677167166885000000	1677167226885000000	1677167247895000000
70	20230223	1677167303887000000	1677167363887000000	1677167384897000000
71	20230223	1677167540299000000	1677167600299000000	1677167621309000000
72	20230223	1677167688309000000	1677167748309000000	1677167769319000000
73	20230223	1677167811948000000	1677167871948000000	1677167892958000000
74	20230223	1677167935266000000	1677167995266000000	1677168016276000000
75	20230223	1677168081549000000	1677168141549000000	1677168162559000000
76	20230223	1677168202946000000	1677168262946000000	1677168283956000000
77	20230223	1677168700793000000	1677168760793000000	1677168771803000000
78	20230223	1677168974764000000	1677169034764000000	1677169057174000000
79	20230223	1677169087218000000	1677169147218000000	1677169169628000000
80	20230223	1677169616337000000	1677169676337000000	1677169687347000000
