discharge_nr	date	T0	T1	T6
1	20230131	1675150940029000000	1675151000029000000	1675151009604000000
2	20230131	1675151197947000000	1675151257947000000	1675151268847000000
3	20230131	1675151333673000000	1675151465674000000	1675151476574000000
4	20230131	1675151726046000000	1675151786046000000	1675151904046000000
5	20230131	1675152205019000000	1675152265019000000	1675152287429000000
6	20230131	1675152831205000000	1675152891205000000	1675152899109000000
7	20230131	1675153077385000000	1675153137385000000	1675153145289000000
8	20230131	1675153767363000000	1675153827363000000	1675153841373000000
9	20230131	1675154684262000000	1675154744262000000	1675154758272000000
10	20230131	1675154855523000000	1675154887527000000	1675154898427000000
11	20230131	1675155331155000000	1675155391155000000	1675155405165000000
12	20230131	1675155561845000000	1675155621845000000	1675155739845000000
13	20230131	1675155953516000000	1675156013516000000	1675156027526000000
14	20230131	1675156460957000000	1675156520957000000	1675156534967000000
15	20230131	1675156731322000000	1675156791322000000	1675156909322000000
16	20230131	1675157249597000000	1675157309597000000	1675157323607000000
17	20230131	1675157578292000000	1675157638292000000	1675157647992000000
18	20230131	1675157734501000000	1675157794501000000	1675157808511000000
19	20230131	1675158079881000000	1675158139881000000	1675158257881000000
20	20230131	1675158477700000000	1675158537700000000	1675158551710000000
21	20230131	1675158947379000000	1675159007379000000	1675159021389000000
22	20230131	1675159468299000000	1675159528299000000	1675159555809000000
23	20230131	1675159752174000000	1675159812174000000	1675159839684000000
24	20230131	1675160173471000000	1675160233471000000	1675160251981000000
25	20230131	1675161128302000000	1675161188302000000	1675161206812000000
26	20230131	1675162462400000000	1675162522400000000	1675162543910000000
27	20230131	1675163210387000000	1675163270387000000	1675163291897000000
28	20230131	1675163765686000000	1675163825686000000	1675163844196000000
29	20230131	1675164155168000000	1675164215168000000	1675164242678000000
30	20230131	1675165008834000000	1675165068834000000	1675165096344000000
31	20230131	1675165407364000000	1675165467364000000	1675165491712000000
32	20230131	1675165757132000000	1675165817132000000	1675165827428000000
33	20230131	1675166766524000000	1675166826524000000	1675166837836000000
34	20230131	1675168026209000000	1675168086209000000	1675168107719000000
35	20230131	1675168707524000000	1675168767524000000	1675168789034000000
36	20230131	1675169031119000000	1675169091119000000	1675169112629000000
37	20230131	1675170395687000000	1675170455687000000	1675170474697000000
38	20230131	1675171069691000000	1675171129691000000	1675171247691000000
39	20230131	1675171466112000000	1675171526112000000	1675171545122000000
40	20230131	1675172153590000000	1675172213590000000	1675172227600000000
41	20230131	1675172981109000000	1675173041109000000	1675173060119000000
42	20230131	1675173777424000000	1675173837424000000	1675173852434000000
43	20230131	1675174597020000000	1675174657020000000	1675174676030000000
44	20230131	1675175055537000000	1675175115537000000	1675175233537000000
45	20230131	1675175745021000000	1675175805021000000	1675175824031000000
46	20230131	1675176728304000000	1675176788304000000	1675176807314000000
47	20230131	1675177504029000000	1675177564029000000	1675177583039000000
48	20230131	1675178524638000000	1675178584638000000	1675178603648000000
49	20230131	1675179427013000000	1675179487013000000	1675179506023000000
50	20230131	1675179702707000000	1675179762707000000	1675179880707000000
51	20230131	1675180043166000000	1675180103166000000	1675180122176000000
52	20230131	1675180568812000000	1675180628812000000	1675180647822000000
53	20230131	1675181676719000000	1675181736719000000	1675181752729000000
54	20230131	1675182386730000000	1675182446730000000	1675182462740000000
55	20230131	1675182771314000000	1675182831314000000	1675182847324000000
56	20230131	1675183074350000000	1675183206351000000	1675183217251000000
