discharge_nr	date	T0	T1	T6
1	20221207	1670399584880000000	1670399644880000000	1670399654580000000
2	20221207	1670400128492000000	1670400258492000000	1670400269392000000
3	20221207	1670400384983000000	1670400444983000000	1670400455883000000
4	20221207	1670400939815000000	1670401069815000000	1670401080715000000
5	20221207	1670401390703000000	1670401450703000000	1670401460322000000
6	20221207	1670402111538000000	1670402241538000000	1670402252438000000
7	20221207	1670402296581000000	1670402356581000000	1670402383783000000
8	20221207	1670402444608000000	1670402504608000000	1670402567618000000
9	20221207	1670402813519000000	1670402873519000000	1670402936529000000
10	20221207	1670403029983000000	1670403089983000000	1670403152993000000
11	20221207	1670403679913000000	1670403739913000000	1670403762323000000
12	20221207	1670404549082000000	1670404609082000000	1670404633092000000
13	20221207	1670404943053000000	1670405003053000000	1670405007583000000
14	20221207	1670407020678000000	1670407080678000000	1670407104001000000
15	20221207	1670408063890000000	1670408123890000000	1670408147900000000
16	20221207	1670408752470000000	1670408812470000000	1670408836480000000
17	20221207	1670409256000000000	1670409316000000000	1670409340010000000
18	20221207	1670409750356000000	1670409810356000000	1670409834366000000
19	20221207	1670410012630000000	1670410072630000000	1670410095026000000
20	20221207	1670410719232000000	1670410779232000000	1670410803242000000
21	20221207	1670411154011000000	1670411214011000000	1670411238021000000
22	20221207	1670411387255000000	1670411447255000000	1670411471265000000
23	20221207	1670411926456000000	1670411986456000000	1670412000466000000
24	20221207	1670412755553000000	1670412815553000000	1670412829563000000
25	20221207	1670413527307000000	1670413587307000000	1670413598207000000
26	20221207	1670413927961000000	1670413997961000000	1670414008861000000
27	20221207	1670414073633000000	1670414133633000000	1670414152643000000
28	20221207	1670415448681000000	1670415508681000000	1670415527691000000
29	20221207	1670415767634000000	1670415827634000000	1670415856644000000
30	20221207	1670415977988000000	1670416037988000000	1670416066998000000
31	20221207	1670416260734000000	1670416320734000000	1670416346088000000
32	20221207	1670416551364000000	1670416611364000000	1670416621064000000
33	20221207	1670417332285000000	1670417392285000000	1670417401985000000
34	20221207	1670418420556000000	1670418480556000000	1670418490256000000
35	20221207	1670419000867000000	1670419060867000000	1670419072159000000
36	20221207	1670419554587000000	1670419614587000000	1670419633597000000
37	20221207	1670419821446000000	1670419881446000000	1670419900456000000
38	20221207	1670420492408000000	1670420552408000000	1670420567592000000
39	20221207	1670421504940000000	1670421564940000000	1670421583950000000
40	20221207	1670421992634000000	1670422052634000000	1670422063534000000
41	20221207	1670422379899000000	1670422439899000000	1670422458909000000
42	20221207	1670422891740000000	1670422951740000000	1670422970750000000
43	20221207	1670423711897000000	1670423771897000000	1670423790907000000
44	20221207	1670423941387000000	1670424001387000000	1670424020397000000
45	20221207	1670424275547000000	1670424335547000000	1670424354557000000
46	20221207	1670424759551000000	1670424819551000000	1670424838561000000
47	20221207	1670425098700000000	1670425158700000000	1670425177710000000
48	20221207	1670425411722000000	1670425471722000000	1670425490732000000
49	20221207	1670425750069000000	1670425810069000000	1670425829079000000
50	20221207	1670426273990000000	1670426333990000000	1670426353000000000
51	20221207	1670426650824000000	1670426710824000000	1670426729834000000
52	20221207	1670426908300000000	1670426968300000000	1670426987310000000
53	20221207	1670427296319000000	1670427356319000000	1670427375329000000
54	20221207	1670427971565000000	1670428031565000000	1670428050575000000
55	20221207	1670428268005000000	1670428328005000000	1670428347015000000
56	20221207	1670429648925000000	1670429708925000000	1670429718214000000
57	20221207	1670430138492000000	1670430198492000000	1670430217502000000
58	20221207	1670430553229000000	1670430613229000000	1670430628533000000
