discharge_nr	date	T0	T1	T6
1	20230328	1679986552020000000	1679986612020000000	1679986621720000000
2	20230328	1679986728003000000	1679986788003000000	1679986798903000000
3	20230328	1679987223928000000	1679987283928000000	1679987318342000000
4	20230328	1679988387021000000	1679988447021000000	1679988456288000000
5	20230328	1679988889993000000	1679988949993000000	1679988960893000000
6	20230328	1679989327195000000	1679989387195000000	1679989409605000000
7	20230328	1679989679628000000	1679989739628000000	1679989857628000000
8	20230328	1679990024143000000	1679990084143000000	1679990093359000000
9	20230328	1679990249757000000	1679990309757000000	1679990319457000000
10	20230328	1679990401852000000	1679990461852000000	1679990471552000000
11	20230328	1679990560280000000	1679990620280000000	1679990641290000000
12	20230328	1679990917342000000	1679990977342000000	1679991013352000000
13	20230328	1679991292746000000	1679991352746000000	1679991388756000000
14	20230328	1679991832084000000	1679991892084000000	1679991901333000000
15	20230328	1679992157496000000	1679992217496000000	1679992238506000000
16	20230328	1679992321928000000	1679992381928000000	1679992417938000000
17	20230328	1679992559630000000	1679992619630000000	1679992628868000000
18	20230328	1679992794014000000	1679992854014000000	1679992863240000000
19	20230328	1679993066969000000	1679993126969000000	1679993147979000000
20	20230328	1679993330567000000	1679993390567000000	1679993429577000000
21	20230328	1679993858113000000	1679993918113000000	1679993939123000000
22	20230328	1679994149224000000	1679994209224000000	1679994230234000000
23	20230328	1679994318268000000	1679994378268000000	1679994417278000000
24	20230328	1679994702058000000	1679994762058000000	1679994801068000000
25	20230328	1679995750846000000	1679995810846000000	1679995831856000000
26	20230328	1679996201291000000	1679996261291000000	1679996282301000000
27	20230328	1679996388204000000	1679996448204000000	1679996469214000000
28	20230328	1679996731037000000	1679996791037000000	1679996812047000000
29	20230328	1679997394700000000	1679997454700000000	1679997475710000000
30	20230328	1679997684326000000	1679997744326000000	1679997753571000000
31	20230328	1679997964845000000	1679998024845000000	1679998034159000000
32	20230328	1679998182737000000	1679998242737000000	1679998263747000000
33	20230328	1679998649734000000	1679998709734000000	1679998730744000000
34	20230328	1679999061637000000	1679999121637000000	1679999132986000000
35	20230328	1679999525188000000	1679999585188000000	1679999594501000000
36	20230328	1679999736272000000	1679999796272000000	1679999817282000000
37	20230328	1680000160629000000	1680000220629000000	1680000241639000000
38	20230328	1680000479831000000	1680000539831000000	1680000549531000000
39	20230328	1680000698223000000	1680000758223000000	1680000779233000000
40	20230328	1680000946749000000	1680001006749000000	1680001027759000000
41	20230328	1680001237753000000	1680001297753000000	1680001307453000000
42	20230328	1680001346783000000	1680001406783000000	1680001427793000000
43	20230328	1680001603545000000	1680001663545000000	1680001684555000000
44	20230328	1680001944160000000	1680002004160000000	1680002013336000000
45	20230328	1680002121031000000	1680002181031000000	1680002190731000000
46	20230328	1680002377437000000	1680002437437000000	1680002458447000000
47	20230328	1680002809686000000	1680002869686000000	1680002879386000000
48	20230328	1680002976664000000	1680003036664000000	1680003057674000000
49	20230328	1680003672624000000	1680003732624000000	1680003742324000000
50	20230328	1680003798060000000	1680003858060000000	1680003867176000000
51	20230328	1680003967460000000	1680004027460000000	1680004048470000000
52	20230328	1680004203826000000	1680004263826000000	1680004284836000000
53	20230328	1680005299505000000	1680005359505000000	1680005383515000000
54	20230328	1680005600177000000	1680005660177000000	1680005669877000000
