discharge_nr	date	T0	T1	T6
1	20230117	0	0	0
2	20230117	0	0	0
3	20230117	0	0	0
4	20230117	0	0	0
5	20230117	0	0	0
6	20230117	0	0	0
7	20230117	1673941412480000000	1673941472480000000	1673941483380000000
8	20230117	1673945077929000000	1673945137929000000	1673945147559000000
9	20230117	1673945264863000000	1673945324863000000	1673945334433000000
10	20230117	1673945650254000000	1673945710254000000	1673945840154000000
11	20230117	1673946263261000000	1673946323261000000	1673946337271000000
12	20230117	1673946676991000000	1673946736991000000	1673946751001000000
13	20230117	1673947184790000000	1673947244790000000	1673947255086000000
14	20230117	1673947545475000000	1673947605475000000	1673947615765000000
15	20230117	1673948154279000000	1673948214279000000	1673948228289000000
16	20230117	1673948792561000000	1673948852561000000	1673948862261000000
17	20230117	1673949264809000000	1673949324809000000	1673949334509000000
18	20230117	1673949455966000000	1673949515966000000	1673949529976000000
19	20230117	1673949684885000000	1673949744885000000	1673949758895000000
20	20230117	1673949949967000000	1673950009967000000	1673950023977000000
21	20230117	1673950192937000000	1673950252937000000	1673950262637000000
22	20230117	1673950419050000000	1673950479050000000	1673950493060000000
23	20230117	1673950731793000000	1673950791793000000	1673950921693000000
24	20230117	1673951149755000000	1673951209755000000	1673951223765000000
25	20230117	1673951530563000000	1673951590563000000	1673951604573000000
26	20230117	1673952119295000000	1673952179295000000	1673952196305000000
27	20230117	1673952376448000000	1673952436448000000	1673952453458000000
28	20230117	1673953045994000000	1673953105994000000	1673953123004000000
29	20230117	1673953627917000000	1673953687917000000	1673953704927000000
30	20230117	1673953929925000000	1673953989925000000	1673954006935000000
31	20230117	1673954087480000000	1673954147480000000	1673954164490000000
32	20230117	1673954261807000000	1673954321807000000	1673954338817000000
33	20230117	1673954402162000000	1673954462162000000	1673954479172000000
34	20230117	1673954563596000000	1673954623596000000	1673954640606000000
35	20230117	1673954691160000000	1673954751160000000	1673954768170000000
36	20230117	1673954836344000000	1673954896344000000	1673954913354000000
37	20230117	1673954968628000000	1673955028628000000	1673955045638000000
38	20230117	1673955134902000000	1673955194902000000	1673955211912000000
39	20230117	1673955553755000000	1673955613755000000	1673955630765000000
40	20230117	1673955740063000000	1673955800063000000	1673955817073000000
41	20230117	1673955918914000000	1673955978914000000	1673955995924000000
42	20230117	1673956283820000000	1673956343820000000	1673956360830000000
43	20230117	1673956533186000000	1673956593186000000	1673956610196000000
44	20230117	1673956798701000000	1673956858701000000	1673956875711000000
45	20230117	1673957493951000000	1673957553951000000	1673957570961000000
46	20230117	1673957845815000000	1673957905815000000	1673957922825000000
47	20230117	1673958423717000000	1673958483717000000	1673958500727000000
48	20230117	1673960591565000000	1673960651565000000	1673960666575000000
49	20230117	1673961035016000000	1673961095016000000	1673961110026000000
50	20230117	1673961451682000000	1673961511682000000	1673961629692000000
51	20230117	1673961919408000000	1673961979408000000	1673961994418000000
52	20230117	1673962291571000000	1673962351571000000	1673962366581000000
53	20230117	1673963005790000000	1673963065790000000	1673963081300000000
54	20230117	1673963406774000000	1673963466774000000	1673963482284000000
55	20230117	1673963788725000000	1673963848725000000	1673963864235000000
56	20230117	1673964376060000000	1673964436060000000	1673964451570000000
57	20230117	1673964797217000000	1673964857217000000	1673964872727000000
58	20230117	1673965073930000000	1673965133930000000	1673965149440000000
59	20230117	1673965604412000000	1673965664412000000	1673965679922000000
60	20230117	1673965866456000000	1673965926456000000	1673965941966000000
61	20230117	1673966719485000000	1673966779485000000	1673966791668000000
62	20230117	1673967261364000000	1673967321364000000	1673967336374000000
63	20230117	1673968070277000000	1673968130277000000	1673968152287000000
64	20230117	1673968519445000000	1673968579445000000	1673968601455000000
65	20230117	1673969136009000000	1673969196009000000	1673969226519000000
66	20230117	1673969551288000000	1673969611288000000	1673969641798000000
67	20230117	1673970006386000000	1673970066386000000	1673970088396000000
68	20230117	1673970446015000000	1673970506015000000	1673970536525000000
69	20230117	1673970902303000000	1673970962303000000	1673970984313000000
70	20230117	1673971190062000000	1673971250062000000	1673971280572000000
71	20230117	1673971790481000000	1673971850481000000	1673971860767000000
72	20230117	1673972086223000000	1673972146223000000	1673972156508000000
73	20230117	1673972397617000000	1673972457617000000	1673972488127000000
74	20230117	1673972927340000000	1673972987340000000	1673973017850000000
