discharge_nr	date	T0	T1	T6
1	20230209	1675929133976000000	1675929193976000000	1675929203578000000
2	20230209	1675929327936000000	1675929387936000000	1675929398836000000
3	20230209	1675930073041000000	1675930205042000000	1675930215942000000
4	20230209	1675930730844000000	1675930790844000000	1675930807854000000
5	20230209	1675931266092000000	1675931324192000000	1675931335092000000
6	20230209	1675931649760000000	1675931707860000000	1675931718760000000
7	20230209	1675931880265000000	1675931940265000000	1675931957275000000
8	20230209	1675932675770000000	1675932735770000000	1675932774780000000
9	20230209	1675934201415000000	1675934261415000000	1675934278425000000
10	20230209	1675937786955000000	1675937846955000000	1675937863965000000
11	20230209	1675938172044000000	1675938232044000000	1675938249054000000
12	20230209	1675938635025000000	1675938695025000000	1675938705339000000
13	20230209	1675938898785000000	1675938958785000000	1675938975795000000
14	20230209	1675939482684000000	1675939542684000000	1675939559694000000
15	20230209	1675940116941000000	1675940176941000000	1675940193951000000
16	20230209	1675940708728000000	1675940768728000000	1675940807738000000
17	20230209	1675941552561000000	1675941612561000000	1675941622261000000
18	20230209	1675942060033000000	1675942120033000000	1675942156440000000
19	20230209	1675943292388000000	1675943352388000000	1675943453105000000
20	20230209	1675944467076000000	1675944527076000000	1675944536776000000
21	20230209	1675944735505000000	1675944795505000000	1675944823807000000
22	20230209	1675945109671000000	1675945169671000000	1675945198077000000
23	20230209	1675946105516000000	1675946165516000000	1675946288325000000
24	20230209	1675947388757000000	1675947520758000000	1675947531658000000
25	20230209	1675947755076000000	1675947887077000000	1675947897977000000
26	20230209	1675948459601000000	1675948519601000000	1675948542011000000
27	20230209	1675949418072000000	1675949478072000000	1675949500482000000
28	20230209	1675950172359000000	1675950232359000000	1675950233359000000
29	20230209	1675950229863000000	1675950289863000000	1675950313873000000
30	20230209	1675950620650000000	1675950680650000000	1675950704660000000
31	20230209	1675951027540000000	1675951087540000000	1675951205540000000
32	20230209	1675951586352000000	1675951646352000000	1675951670362000000
33	20230209	1675951909708000000	1675951969708000000	1675951993718000000
34	20230209	1675952152557000000	1675952212557000000	1675952236567000000
35	20230209	1675952329220000000	1675952389220000000	1675952413230000000
36	20230209	1675952560232000000	1675952620232000000	1675952644242000000
37	20230209	1675952800143000000	1675952860143000000	1675952884153000000
38	20230209	1675953266418000000	1675953326418000000	1675953350428000000
39	20230209	1675953526274000000	1675953586274000000	1675953595974000000
40	20230209	1675954052786000000	1675954112786000000	1675954136796000000
41	20230209	1675954235689000000	1675954295689000000	1675954319699000000
42	20230209	1675955192753000000	1675955252753000000	1675955268763000000
43	20230209	1675955857294000000	1675955917294000000	1675955941304000000
44	20230209	1675956332523000000	1675956392523000000	1675956411533000000
45	20230209	1675957141145000000	1675957201145000000	1675957240155000000
46	20230209	1675957372266000000	1675957432266000000	1675957471276000000
47	20230209	1675957787485000000	1675957847485000000	1675957886495000000
48	20230209	1675958354476000000	1675958414476000000	1675958453486000000
49	20230209	1675958961198000000	1675959021198000000	1675959034549000000
50	20230209	1675959337753000000	1675959397753000000	1675959416111000000
51	20230209	1675959747028000000	1675959807028000000	1675959846038000000
52	20230209	1675960096526000000	1675960156526000000	1675960195536000000
