discharge_nr	date	T0	T1	T6
1	20221129	0	0	0
2	20221129	0	0	0
3	20221129	0	0	0
4	20221129	0	0	0
5	20221129	0	0	0
6	20221129	0	0	0
7	20221129	1669709292321000000	1669709352321000000	1669709363221000000
8	20221129	1669709837508000000	1669709897508000000	1669709907100000000
9	20221129	1669710182246000000	1669710242246000000	1669710251429000000
10	20221129	1669710381430000000	1669710441430000000	1669710451632000000
11	20221129	1669710963562000000	1669711023562000000	1669711033759000000
12	20221129	1669711641477000000	1669711701477000000	1669711721377000000
13	20221129	1669711917582000000	1669711977582000000	1669711997482000000
14	20221129	1669712197241000000	1669712257241000000	1669712277141000000
15	20221129	1669713557828000000	1669713617828000000	1669713737728000000
16	20221129	1669713915326000000	1669713975326000000	1669714095226000000
17	20221129	1669714381477000000	1669714441477000000	1669714455487000000
18	20221129	1669715206367000000	1669715266367000000	1669715276067000000
19	20221129	1669715690408000000	1669715750408000000	1669715769418000000
20	20221129	1669716445946000000	1669716505946000000	1669716524956000000
21	20221129	1669717384135000000	1669717444135000000	1669717463145000000
22	20221129	1669717610109000000	1669717670109000000	1669717689119000000
23	20221129	1669718215949000000	1669718275949000000	1669718294959000000
24	20221129	1669719015646000000	1669719075646000000	1669719094656000000
25	20221129	1669719325235000000	1669719385235000000	1669719404245000000
26	20221129	1669720106467000000	1669720166467000000	1669720188877000000
27	20221129	1669720958424000000	1669721018424000000	1669721029340000000
28	20221129	1669721797515000000	1669721857515000000	1669721868704000000
29	20221129	1669722186897000000	1669722246897000000	1669722265907000000
30	20221129	1669722947360000000	1669723007360000000	1669723026370000000
31	20221129	1669723956568000000	1669724016568000000	1669724035578000000
32	20221129	1669724409743000000	1669724469743000000	1669724488753000000
33	20221129	1669725022648000000	1669725082648000000	1669725093843000000
34	20221129	1669725279057000000	1669725339057000000	1669725355262000000
35	20221129	1669727335489000000	1669727395489000000	1669727409499000000
36	20221129	1669727908781000000	1669727968781000000	1669727982791000000
37	20221129	1669728968574000000	1669729028574000000	1669729042584000000
38	20221129	1669729858111000000	1669729918111000000	1669729932121000000
39	20221129	1669730891331000000	1669730951331000000	1669730963131000000
40	20221129	1669731316871000000	1669731376871000000	1669731496771000000
41	20221129	1669732373568000000	1669732433568000000	1669732447578000000
42	20221129	1669732757518000000	1669732817518000000	1669732829318000000
43	20221129	1669733455928000000	1669733515928000000	1669733529938000000
44	20221129	1669734426486000000	1669734486486000000	1669734500496000000
45	20221129	1669735509457000000	1669735569457000000	1669735583467000000
46	20221129	1669735996867000000	1669736056867000000	1669736070877000000
47	20221129	1669736506151000000	1669736566151000000	1669736581161000000
48	20221129	1669737355864000000	1669737415864000000	1669737434874000000
49	20221129	1669738016374000000	1669738076374000000	1669738100384000000
