discharge_nr	date	T0	T1	T6
1	20230222	1677067947240000000	1677068007240000000	1677068016861000000
2	20230222	1677070564337000000	1677070624337000000	1677070635237000000
3	20230222	1677070728308000000	1677070860309000000	1677070871209000000
4	20230222	1677071312495000000	1677071372495000000	1677071490495000000
5	20230222	1677071902352000000	1677071962352000000	1677071973252000000
6	20230222	1677072294283000000	1677072354283000000	1677072368293000000
7	20230222	1677072738786000000	1677072798786000000	1677072812796000000
8	20230222	1677073430584000000	1677073490584000000	1677073504594000000
9	20230222	1677074189905000000	1677074249905000000	1677074263915000000
10	20230222	1677074634278000000	1677074694278000000	1677074708288000000
11	20230222	1677075284102000000	1677075344102000000	1677075358112000000
12	20230222	1677076095840000000	1677076155840000000	1677076169850000000
13	20230222	1677077175638000000	1677077235638000000	1677077249648000000
14	20230222	1677077656351000000	1677077716351000000	1677077730361000000
15	20230222	1677078828195000000	1677078888195000000	1677078904205000000
16	20230222	1677079421655000000	1677079481655000000	1677079504665000000
17	20230222	1677080353539000000	1677080413539000000	1677080422874000000
18	20230222	1677080912371000000	1677080972371000000	1677081090273000000
19	20230222	1677081317352000000	1677081377352000000	1677081400362000000
20	20230222	1677082516359000000	1677082576359000000	1677082585622000000
21	20230222	1677082800163000000	1677082860163000000	1677082876197000000
22	20230222	1677083179822000000	1677083311823000000	1677083322723000000
