discharge_nr	date	T0	T1	T6
1	20230125	1674636485627000000	1674636545627000000	1674636555201000000
2	20230125	1674636614669000000	1674636674669000000	1674636684268000000
3	20230125	1674636728464000000	1674636788464000000	1674636799364000000
4	20230125	1674637017059000000	1674637077059000000	1674637103130000000
5	20230125	1674637794252000000	1674637854252000000	1674637972262000000
6	20230125	1674638292353000000	1674638352353000000	1674638363614000000
7	20230125	1674638726979000000	1674638786979000000	1674638800989000000
8	20230125	1674639668223000000	1674639728223000000	1674639846233000000
9	20230125	1674639962642000000	1674640022642000000	1674640036652000000
10	20230125	1674640498467000000	1674640558467000000	1674640572477000000
11	20230125	1674641156969000000	1674641216969000000	1674641235979000000
12	20230125	1674641799854000000	1674641859854000000	1674641869554000000
13	20230125	1674642165128000000	1674642225128000000	1674642247538000000
14	20230125	1674642668201000000	1674642728201000000	1674642748211000000
15	20230125	1674643338008000000	1674643398008000000	1674643418018000000
16	20230125	1674644135335000000	1674644195335000000	1674644220345000000
17	20230125	1674644961560000000	1674645021560000000	1674645038913000000
18	20230125	1674646013441000000	1674646073441000000	1674646094451000000
19	20230125	1674646506721000000	1674646566721000000	1674646684731000000
20	20230125	1674646731282000000	1674646791282000000	1674646909292000000
21	20230125	1674647064983000000	1674647124983000000	1674647145993000000
22	20230125	1674647532566000000	1674647592566000000	1674647613576000000
23	20230125	1674647973782000000	1674648033782000000	1674648045054000000
24	20230125	1674648832448000000	1674648892448000000	1674649010458000000
25	20230125	1674649448549000000	1674649508549000000	1674649527559000000
26	20230125	1674649843103000000	1674649903103000000	1674649924113000000
27	20230125	1674650304970000000	1674650364970000000	1674650385980000000
28	20230125	1674650506417000000	1674650566417000000	1674650684427000000
29	20230125	1674651363168000000	1674651423168000000	1674651443514000000
30	20230125	1674652800767000000	1674652860767000000	1674652872103000000
31	20230125	1674653118173000000	1674653178173000000	1674653296183000000
32	20230125	1674653681661000000	1674653741661000000	1674653757994000000
33	20230125	1674654737244000000	1674654797244000000	1674654811509000000
34	20230125	1674655377475000000	1674655437475000000	1674655450823000000
35	20230125	1674656324612000000	1674656384612000000	1674656502622000000
36	20230125	1674656694503000000	1674656754503000000	1674656769786000000
37	20230125	1674657319460000000	1674657379460000000	1674657395846000000
38	20230125	1674657950045000000	1674658010045000000	1674658031046000000
39	20230125	1674658558583000000	1674658618583000000	1674658639584000000
40	20230125	1674659068571000000	1674659128571000000	1674659246581000000
41	20230125	1674659393836000000	1674659453836000000	1674659474837000000
42	20230125	1674660062882000000	1674660122882000000	1674660143883000000
43	20230125	1674660911174000000	1674660971174000000	1674660989493000000
44	20230125	1674661396059000000	1674661456059000000	1674661574069000000
45	20230125	1674661853612000000	1674661913612000000	1674661934613000000
46	20230125	1674662462701000000	1674662522701000000	1674662543702000000
47	20230125	1674663048912000000	1674663108912000000	1674663226922000000
48	20230125	1674663414578000000	1674663474578000000	1674663495579000000
49	20230125	1674664166201000000	1674664226201000000	1674664247202000000
50	20230125	1674664483046000000	1674664519046000000	1674664529946000000
51	20230125	1674664595563000000	1674664631563000000	1674664642463000000
52	20230125	1674664667414000000	1674664703414000000	1674664714314000000
53	20230125	1674664739613000000	1674664775613000000	1674664786513000000
54	20230125	1674664812296000000	1674664848296000000	1674664859196000000
