discharge_nr	date	T0	T1	T6
1	20221130	1669795915919000000	1669795975919000000	1669795985496000000
2	20221130	1669797515433000000	1669797575433000000	1669797586333000000
3	20221130	1669797970200000000	1669798030200000000	1669798049710000000
4	20221130	1669798204204000000	1669798264204000000	1669798273904000000
5	20221130	1669798398836000000	1669798458836000000	1669798478346000000
6	20221130	1669799207011000000	1669799267011000000	1669799281021000000
7	20221130	1669800555679000000	1669800615679000000	1669800629689000000
8	20221130	1669801554799000000	1669801614799000000	1669801629141000000
9	20221130	1669802008454000000	1669802068454000000	1669802083750000000
10	20221130	1669802379393000000	1669802439393000000	1669802454729000000
11	20221130	1669803099185000000	1669803159185000000	1669803180195000000
12	20221130	1669804332371000000	1669804392371000000	1669804401714000000
13	20221130	1669805583754000000	1669805643754000000	1669805652985000000
14	20221130	1669805900109000000	1669805960109000000	1669805974119000000
15	20221130	1669806711148000000	1669806771148000000	1669806785158000000
16	20221130	1669807593188000000	1669807653188000000	1669807666388000000
17	20221130	1669808054786000000	1669808114786000000	1669808128796000000
18	20221130	1669809192797000000	1669809252797000000	1669809262993000000
19	20221130	1669810755940000000	1669810815940000000	1669810829950000000
20	20221130	1669811930684000000	1669811990684000000	1669811999848000000
21	20221130	1669812639220000000	1669812699220000000	1669812708458000000
22	20221130	1669813917505000000	1669813977505000000	1669813998515000000
23	20221130	1669815134476000000	1669815194476000000	1669815218486000000
24	20221130	1669816090695000000	1669816150695000000	1669816167937000000
25	20221130	1669816424446000000	1669816484446000000	1669816494694000000
26	20221130	1669816842167000000	1669816902167000000	1669816922067000000
27	20221130	1669817169174000000	1669817229174000000	1669817239377000000
28	20221130	1669817561823000000	1669817621823000000	1669817741723000000
29	20221130	1669817882244000000	1669817942244000000	1669817956254000000
30	20221130	1669818050936000000	1669818110936000000	1669818124946000000
31	20221130	1669818206572000000	1669818266572000000	1669818280582000000
32	20221130	1669819024116000000	1669819084116000000	1669819098126000000
33	20221130	1669819623018000000	1669819683018000000	1669819702028000000
34	20221130	1669820409763000000	1669820469763000000	1669820508773000000
35	20221130	1669821299426000000	1669821359426000000	1669821388436000000
36	20221130	1669821557171000000	1669821617171000000	1669821646181000000
37	20221130	1669821834726000000	1669821894726000000	1669821918538000000
38	20221130	1669822594155000000	1669822654155000000	1669822676565000000
39	20221130	1669822941248000000	1669823001248000000	1669823015258000000
40	20221130	1669823978874000000	1669824038874000000	1669824056154000000
41	20221130	1669824847951000000	1669824907951000000	1669824926961000000
42	20221130	1669825630479000000	1669825690479000000	1669825708712000000
