discharge_nr	date	T0	T1	T6
1	20230323	1679558096541000000	1679558156541000000	1679558166085000000
2	20230323	1679558465962000000	1679558525962000000	1679558536862000000
3	20230323	1679558756241000000	1679558816241000000	1679558825814000000
4	20230323	1679559324655000000	1679559384655000000	1679559407065000000
5	20230323	1679559488114000000	1679559640115000000	1679559651015000000
6	20230323	1679560124962000000	1679560184962000000	1679560198972000000
7	20230323	1679560457164000000	1679560517164000000	1679560536174000000
8	20230323	1679560705000000000	1679560765000000000	1679560774280000000
9	20230323	1679560954853000000	1679561014853000000	1679561024553000000
10	20230323	1679561116991000000	1679561176991000000	1679561194501000000
11	20230323	1679561415830000000	1679561475830000000	1679561493340000000
12	20230323	1679561554807000000	1679561614807000000	1679561632317000000
13	20230323	1679561735207000000	1679561795207000000	1679561804907000000
14	20230323	1679561902297000000	1679561962297000000	1679561979807000000
15	20230323	1679562214318000000	1679562274318000000	1679562291828000000
16	20230323	1679562373293000000	1679562433293000000	1679562450803000000
17	20230323	1679562754616000000	1679562814616000000	1679562832126000000
18	20230323	1679562943621000000	1679563003621000000	1679563022631000000
19	20230323	1679563141070000000	1679563201070000000	1679563218580000000
20	20230323	1679563268447000000	1679563328447000000	1679563345957000000
21	20230323	1679563554710000000	1679563614710000000	1679563632220000000
22	20230323	1679563713872000000	1679563773872000000	1679563791382000000
23	20230323	1679563837675000000	1679563897675000000	1679563915185000000
24	20230323	1679564377331000000	1679564437331000000	1679564454841000000
25	20230323	1679564672585000000	1679564732585000000	1679564750095000000
26	20230323	1679564810509000000	1679564870509000000	1679564889519000000
27	20230323	1679565216677000000	1679565276677000000	1679565294187000000
28	20230323	1679565350379000000	1679565410379000000	1679565427889000000
29	20230323	1679565483691000000	1679565543691000000	1679565562701000000
30	20230323	1679565803354000000	1679565863354000000	1679565880864000000
31	20230323	1679565974528000000	1679566034528000000	1679566052038000000
32	20230323	1679566543481000000	1679566603481000000	1679566623491000000
33	20230323	1679566963205000000	1679567023205000000	1679567034476000000
34	20230323	1679567307636000000	1679567367636000000	1679567390646000000
35	20230323	1679567861858000000	1679567921858000000	1679567962868000000
36	20230323	1679568354838000000	1679568414838000000	1679568532838000000
37	20230323	1679568658290000000	1679568718290000000	1679568735800000000
38	20230323	1679569191902000000	1679569251902000000	1679569274912000000
39	20230323	1679569477904000000	1679569537904000000	1679569555414000000
40	20230323	1679569770131000000	1679569830131000000	1679569864141000000
41	20230323	1679570025259000000	1679570085259000000	1679570119269000000
42	20230323	1679570260413000000	1679570320413000000	1679570336701000000
43	20230323	1679570599553000000	1679570659553000000	1679570693563000000
44	20230323	1679570974944000000	1679571034944000000	1679571068954000000
45	20230323	1679571306692000000	1679571366692000000	1679571484692000000
46	20230323	1679571524853000000	1679571584853000000	1679571702853000000
47	20230323	1679571844939000000	1679571904939000000	1679571927949000000
48	20230323	1679572241111000000	1679572301111000000	1679572342121000000
49	20230323	1679572422216000000	1679572482216000000	1679572499726000000
50	20230323	1679572651542000000	1679572711542000000	1679572730552000000
51	20230323	1679572972429000000	1679573032429000000	1679573066439000000
52	20230323	1679573463985000000	1679573523985000000	1679573542995000000
53	20230323	1679573783117000000	1679573843117000000	1679573877127000000
54	20230323	1679574147125000000	1679574207125000000	1679574223390000000
55	20230323	1679574371324000000	1679574431324000000	1679574445523000000
56	20230323	1679575217218000000	1679575277218000000	1679575296228000000
57	20230323	1679575631507000000	1679575691507000000	1679575734517000000
58	20230323	1679576161438000000	1679576221438000000	1679576264448000000
59	20230323	1679576513769000000	1679576573769000000	1679576616779000000
60	20230323	1679576712686000000	1679576772686000000	1679576815696000000
61	20230323	1679576890364000000	1679576950364000000	1679576993374000000
62	20230323	1679577146371000000	1679577206371000000	1679577249381000000
63	20230323	1679577485091000000	1679577545091000000	1679577588101000000
64	20230323	0	0	0
