discharge_nr	date	T0	T1	T6
1	20230307	1678174763077000000	1678174895078000000	1678174905978000000
2	20230307	1678174942066000000	1678175002066000000	1678175011658000000
3	20230307	1678175167991000000	1678175227991000000	1678175238891000000
4	20230307	1678176149381000000	1678176209381000000	1678176223391000000
5	20230307	1678176956130000000	1678177016130000000	1678177030140000000
6	20230307	1678177392025000000	1678177452025000000	1678177466035000000
7	20230307	1678177520435000000	1678177580435000000	1678177594445000000
8	20230307	1678178628379000000	1678178688379000000	1678178702389000000
9	20230307	1678178798446000000	1678178858446000000	1678178872456000000
10	20230307	1678179903561000000	1678179963561000000	1678179973261000000
11	20230307	1678180116401000000	1678180176401000000	1678180190411000000
12	20230307	1678180384478000000	1678180444478000000	1678180458488000000
13	20230307	1678180748146000000	1678180808146000000	1678180827156000000
14	20230307	1678181017487000000	1678181077487000000	1678181091497000000
15	20230307	1678181875928000000	1678181935928000000	1678181954938000000
16	20230307	1678182684840000000	1678182744840000000	1678182758850000000
17	20230307	1678182963149000000	1678183023149000000	1678183045559000000
18	20230307	1678183687015000000	1678183747015000000	1678183761025000000
19	20230307	1678184220548000000	1678184280548000000	1678184299558000000
20	20230307	1678184586896000000	1678184646896000000	1678184660906000000
21	20230307	1678185366571000000	1678185426571000000	1678185435794000000
22	20230307	1678185760345000000	1678185820345000000	1678185836355000000
23	20230307	1678185977069000000	1678186037069000000	1678186056079000000
24	20230307	1678186584582000000	1678186644582000000	1678186660592000000
25	20230307	1678187633217000000	1678187693217000000	1678187710727000000
26	20230307	1678188480986000000	1678188540986000000	1678188558496000000
27	20230307	1678189546268000000	1678189606268000000	1678189625778000000
28	20230307	1678190616442000000	1678190676442000000	1678190695952000000
29	20230307	1678191664263000000	1678191724263000000	1678191842263000000
30	20230307	1678192369404000000	1678192429404000000	1678192443414000000
31	20230307	1678192585362000000	1678192645362000000	1678192659372000000
32	20230307	1678192776555000000	1678192836555000000	1678192850565000000
33	20230307	1678193477406000000	1678193537406000000	1678193655406000000
34	20230307	1678193719489000000	1678193779489000000	1678193897489000000
35	20230307	1678194157996000000	1678194217996000000	1678194232006000000
36	20230307	1678194973829000000	1678195033829000000	1678195051442000000
37	20230307	1678195554525000000	1678195614525000000	1678195633535000000
38	20230307	1678196097811000000	1678196157811000000	1678196171821000000
39	20230307	1678196612513000000	1678196672513000000	1678196790513000000
40	20230307	1678197024593000000	1678197084593000000	1678197103603000000
41	20230307	1678197589446000000	1678197649446000000	1678197663456000000
42	20230307	1678197876744000000	1678197936744000000	1678197954358000000
43	20230307	1678198736268000000	1678198796268000000	1678198846343000000
44	20230307	1678199168149000000	1678199228149000000	1678199256094000000
45	20230307	1678199410717000000	1678199470717000000	1678199484727000000
46	20230307	1678199689772000000	1678199749772000000	1678199768782000000
47	20230307	1678200015040000000	1678200075040000000	1678200100050000000
48	20230307	1678200286966000000	1678200346966000000	1678200360976000000
49	20230307	1678200762301000000	1678200822301000000	1678200940301000000
50	20230307	1678201243649000000	1678201303649000000	1678201328659000000
51	20230307	1678201526524000000	1678201586524000000	1678201601534000000
52	20230307	1678202126185000000	1678202186185000000	1678202200195000000
53	20230307	1678202292769000000	1678202352769000000	1678202367779000000
54	20230307	1678202540771000000	1678202600771000000	1678202614781000000
55	20230307	1678202789855000000	1678202849855000000	1678202863865000000
56	20230307	1678202960100000000	1678203020100000000	1678203035110000000
57	20230307	1678203152825000000	1678203212825000000	1678203226835000000
58	20230307	1678203630505000000	1678203690505000000	1678203808505000000
59	20230307	1678204043929000000	1678204103929000000	1678204117939000000
60	20230307	1678204203670000000	1678204263670000000	1678204277680000000
61	20230307	1678204558305000000	1678204618305000000	1678204640315000000
62	20230307	1678204744404000000	1678204804404000000	1678204818414000000
63	20230307	1678204936524000000	1678204996524000000	1678205009137000000
64	20230307	1678205855459000000	1678205915459000000	1678205933713000000
65	20230307	1678206034567000000	1678206094567000000	1678206107180000000
66	20230307	1678206623542000000	1678206683542000000	1678206698851000000
