discharge_nr	date	T0	T1	T6
1	20230215	1676447803282000000	1676447863282000000	1676447872883000000
2	20230215	1676447961534000000	1676448021534000000	1676448032434000000
3	20230215	1676448100221000000	1676448232222000000	1676448243122000000
4	20230215	1676448743253000000	1676448803253000000	1676448921253000000
5	20230215	1676449279915000000	1676449339915000000	1676449362325000000
6	20230215	1676449609287000000	1676449741288000000	1676449752188000000
7	20230215	1676449885054000000	1676449945054000000	1676449959064000000
8	20230215	1676450415119000000	1676450475119000000	1676450494129000000
9	20230215	1676451219140000000	1676451279140000000	1676451318150000000
10	20230215	1676451551795000000	1676451611795000000	1676451621495000000
11	20230215	1676451770282000000	1676451830282000000	1676451839982000000
12	20230215	1676451917794000000	1676451977794000000	1676452036804000000
13	20230215	1676452402880000000	1676452462880000000	1676452476890000000
14	20230215	1676452957959000000	1676453017959000000	1676453028859000000
15	20230215	1676453845989000000	1676453905989000000	1676454014999000000
16	20230215	1676454444616000000	1676454504616000000	1676454523626000000
17	20230215	1676454617220000000	1676454677220000000	1676454688120000000
18	20230215	1676454906863000000	1676454966863000000	1676455175873000000
19	20230215	1676455865294000000	1676455925294000000	1676455939304000000
20	20230215	1676456258434000000	1676456318434000000	1676456329334000000
21	20230215	1676456528287000000	1676456588287000000	1676456897297000000
22	20230215	1676457245273000000	1676457305273000000	1676457322283000000
23	20230215	1676458099794000000	1676458159794000000	1676458176804000000
24	20230215	1676458421903000000	1676458481903000000	1676458492803000000
25	20230215	1676458796105000000	1676458856105000000	1676458870115000000
26	20230215	1676459649268000000	1676459709268000000	1676459723278000000
27	20230215	1676460484613000000	1676460544613000000	1676460563623000000
28	20230215	1676460702807000000	1676460762807000000	1676460781817000000
29	20230215	1676462183760000000	1676462243760000000	1676462652770000000
30	20230215	1676463186396000000	1676463246396000000	1676463265406000000
31	20230215	1676464056402000000	1676464116402000000	1676464135412000000
32	20230215	1676464382114000000	1676464442114000000	1676464951124000000
33	20230215	1676465339884000000	1676465399884000000	1676465418894000000
34	20230215	1676466814045000000	1676466874045000000	1676466992045000000
35	20230215	1676467565784000000	1676467625784000000	1676467640794000000
36	20230215	1676467944862000000	1676468004862000000	1676468019872000000
37	20230215	1676468215015000000	1676468275015000000	1676468393015000000
38	20230215	1676468744403000000	1676468804403000000	1676468819413000000
39	20230215	1676469198823000000	1676469258823000000	1676469273833000000
40	20230215	1676469520024000000	1676469580024000000	1676469595034000000
41	20230215	1676469789985000000	1676469849985000000	1676469864995000000
42	20230215	1676470295614000000	1676470355614000000	1676470370624000000
43	20230215	1676470525658000000	1676470585658000000	1676470600668000000
44	20230215	1676470807748000000	1676470867748000000	1676470882758000000
45	20230215	1676471100978000000	1676471160978000000	1676471177988000000
46	20230215	1676472148014000000	1676472208014000000	1676472218914000000
47	20230215	1676472730759000000	1676472790759000000	1676472801659000000
48	20230215	1676472993113000000	1676473053113000000	1676473092123000000
49	20230215	1676473624310000000	1676473684310000000	1676473707820000000
50	20230215	1676474147572000000	1676474207572000000	1676474238582000000
51	20230215	1676474671521000000	1676474731521000000	1676474757031000000
52	20230215	1676475021093000000	1676475081093000000	1676475112103000000
53	20230215	1676475476957000000	1676475536957000000	1676475654957000000
54	20230215	1676475804937000000	1676475864937000000	1676475895947000000
55	20230215	1676476480756000000	1676476540756000000	1676476579766000000
56	20230215	1676477027747000000	1676477087747000000	1676477101064000000
57	20230215	1676477364731000000	1676477424731000000	1676477448241000000
58	20230215	1676477683422000000	1676477743422000000	1676477774432000000
59	20230215	1676477947673000000	1676478007673000000	1676478125673000000
60	20230215	1676478268834000000	1676478328834000000	1676478364144000000
61	20230215	1676478732275000000	1676478792275000000	1676478827585000000
