discharge_nr	date	T0	T1	T6
1	20230330	1680158931574000000	1680158991574000000	1680159001139000000
2	20230330	1680159428057000000	1680159488057000000	1680159498957000000
3	20230330	1680160124584000000	1680160184584000000	1680160195484000000
4	20230330	1680160346411000000	1680160406411000000	1680160417311000000
5	20230330	1680160646558000000	1680160706558000000	1680160717458000000
6	20230330	1680160791462000000	1680160851462000000	1680160862362000000
7	20230330	1680161383352000000	1680161443352000000	1680161573252000000
8	20230330	1680161706582000000	1680161766582000000	1680161896482000000
9	20230330	1680162135118000000	1680162195118000000	1680162206018000000
10	20230330	1680162600000000000	1680162660000000000	1680162670900000000
11	20230330	1680162941535000000	1680163001535000000	1680163012435000000
12	20230330	1680163651998000000	1680163711998000000	1680163722898000000
13	20230330	1680163839067000000	1680163899067000000	1680163909967000000
14	20230330	1680166565423000000	1680166625423000000	1680166635600000000
15	20230330	1680166851239000000	1680166911239000000	1680166920506000000
16	20230330	1680167065949000000	1680167125949000000	1680167138959000000
17	20230330	1680167485222000000	1680167545222000000	1680167558232000000
18	20230330	1680167812059000000	1680167872059000000	1680167885069000000
19	20230330	1680168231760000000	1680168291760000000	1680168304770000000
20	20230330	1680168587687000000	1680168647687000000	1680168660697000000
21	20230330	1680169017123000000	1680169077123000000	1680169090133000000
22	20230330	1680169417402000000	1680169477402000000	1680169490412000000
23	20230330	1680169698353000000	1680169758353000000	1680169771363000000
24	20230330	1680169855287000000	1680169915287000000	1680169928297000000
25	20230330	1680170400048000000	1680170460048000000	1680170473058000000
26	20230330	1680170643422000000	1680170703422000000	1680170716432000000
27	20230330	1680171158519000000	1680171218519000000	1680171231529000000
28	20230330	1680171547934000000	1680171607934000000	1680171620944000000
29	20230330	1680171789625000000	1680171849625000000	1680171862635000000
30	20230330	1680172165883000000	1680172225883000000	1680172355783000000
31	20230330	1680172487097000000	1680172547097000000	1680172560107000000
32	20230330	1680173025719000000	1680173085719000000	1680173098729000000
33	20230330	1680173387670000000	1680173447670000000	1680173460680000000
34	20230330	1680173862190000000	1680173922190000000	1680173935200000000
35	20230330	1680174424234000000	1680174484234000000	1680174497244000000
36	20230330	1680175265588000000	1680175325588000000	1680175338598000000
37	20230330	1680175464767000000	1680175524767000000	1680175537777000000
38	20230330	1680175932955000000	1680175992955000000	1680176005965000000
39	20230330	1680176599462000000	1680176659462000000	1680176672472000000
40	20230330	1680176782475000000	1680176842475000000	1680176855485000000
41	20230330	1680177217950000000	1680177277950000000	1680177290960000000
42	20230330	1680177458200000000	1680177518200000000	1680177531210000000
43	20230330	1680177785358000000	1680177845358000000	1680177856258000000
44	20230330	1680178431735000000	1680178491735000000	1680178502635000000
45	20230330	1680179115872000000	1680179175872000000	1680179186772000000
46	20230330	1680179568058000000	1680179628058000000	1680179638958000000
47	20230330	1680179926411000000	1680179986411000000	1680179997311000000
48	20230330	1680180244283000000	1680180304283000000	1680180315183000000
49	20230330	1680180988225000000	1680181048225000000	1680181059125000000
50	20230330	1680181353645000000	1680181413645000000	1680181426655000000
51	20230330	1680181878668000000	1680181938668000000	1680181951678000000
52	20230330	1680182159597000000	1680182219597000000	1680182230497000000
53	20230330	1680182579395000000	1680182639395000000	1680182650295000000
54	20230330	1680182921974000000	1680182981974000000	1680182992874000000
55	20230330	1680183463336000000	1680183523336000000	1680183534236000000
56	20230330	1680183703189000000	1680183763189000000	1680183774089000000
57	20230330	1680184039360000000	1680184099360000000	1680184110260000000
58	20230330	1680184384335000000	1680184444335000000	1680184455235000000
59	20230330	1680184646170000000	1680184706170000000	1680184717070000000
60	20230330	1680184944155000000	1680185004155000000	1680185015055000000
61	20230330	1680185235510000000	1680185295510000000	1680185306410000000
62	20230330	1680185720136000000	1680185780136000000	1680185791036000000
63	20230330	1680186015950000000	1680186075950000000	1680186086850000000
64	20230330	1680186386746000000	1680186446746000000	1680186457646000000
65	20230330	1680186916399000000	1680186976399000000	1680186988799000000
66	20230330	1680187285784000000	1680187345784000000	1680187356684000000
67	20230330	1680187624981000000	1680187684981000000	1680187696881000000
68	20230330	1680187935053000000	1680187995053000000	1680188006953000000
69	20230330	1680188417296000000	1680188477296000000	1680188489196000000
70	20230330	1680188799876000000	1680188859876000000	1680188871776000000
71	20230330	0	0	0
