discharge_nr	date	T0	T1	T6
1	20221201	1669881733991000000	1669881793991000000	1669881803691000000
2	20221201	1669882031480000000	1669882091480000000	1669882102380000000
3	20221201	1669882907281000000	1669882967281000000	1669882975181000000
4	20221201	1669883475673000000	1669883535673000000	1669883545847000000
5	20221201	1669883963896000000	1669884023896000000	1669884034123000000
6	20221201	1669884586717000000	1669884646717000000	1669884656923000000
7	20221201	1669885230728000000	1669885290728000000	1669885351628000000
8	20221201	1669885533214000000	1669885593214000000	1669885607224000000
9	20221201	1669885995647000000	1669886055647000000	1669886065347000000
10	20221201	1669886472620000000	1669886532620000000	1669886546630000000
11	20221201	1669886731961000000	1669886791961000000	1669886801661000000
12	20221201	1669886966994000000	1669887026994000000	1669887037186000000
13	20221201	1669887289208000000	1669887349208000000	1669887360376000000
14	20221201	1669887719377000000	1669887779377000000	1669887789077000000
15	20221201	1669888007065000000	1669888067065000000	1669888127965000000
16	20221201	1669888384382000000	1669888444382000000	1669888505282000000
17	20221201	1669888734166000000	1669888794166000000	1669888803866000000
18	20221201	1669889041369000000	1669889101369000000	1669889111577000000
19	20221201	1669889400855000000	1669889460855000000	1669889479865000000
20	20221201	1669889706127000000	1669889766127000000	1669889777027000000
21	20221201	1669890067822000000	1669890127822000000	1669890146832000000
22	20221201	1669890339230000000	1669890399230000000	1669890413240000000
23	20221201	1669891489879000000	1669891549879000000	1669891569889000000
24	20221201	1669892199501000000	1669892259501000000	1669892273511000000
25	20221201	1669893097557000000	1669893157557000000	1669893171567000000
26	20221201	1669893854563000000	1669893914563000000	1669893933573000000
27	20221201	1669894466333000000	1669894526333000000	1669894548743000000
28	20221201	1669894726364000000	1669894786364000000	1669894803374000000
29	20221201	1669896161835000000	1669896221835000000	1669896235845000000
30	20221201	1669896493909000000	1669896553909000000	1669896572919000000
31	20221201	1669896878619000000	1669896938619000000	1669896955629000000
32	20221201	1669897322733000000	1669897382733000000	1669897426743000000
33	20221201	1669897700698000000	1669897760698000000	1669897779708000000
34	20221201	1669899468162000000	1669899528162000000	1669899547172000000
35	20221201	1669899866448000000	1669899926448000000	1669899943458000000
36	20221201	1669900507646000000	1669900567646000000	1669900586656000000
37	20221201	1669901623639000000	1669901683639000000	1669901700649000000
38	20221201	1669902236476000000	1669902296476000000	1669902315486000000
39	20221201	1669902672597000000	1669902732597000000	1669902749607000000
40	20221201	1669903371861000000	1669903431861000000	1669903450871000000
41	20221201	1669903817554000000	1669903877554000000	1669903894564000000
42	20221201	1669904207593000000	1669904267593000000	1669904284603000000
43	20221201	1669904602118000000	1669904662118000000	1669904677128000000
44	20221201	1669905134653000000	1669905194653000000	1669905211663000000
45	20221201	1669905618244000000	1669905678244000000	1669905693254000000
46	20221201	1669907083167000000	1669907143167000000	1669907157177000000
47	20221201	1669907769052000000	1669907829052000000	1669907844062000000
48	20221201	1669908692426000000	1669908752426000000	1669908769436000000
49	20221201	1669909540107000000	1669909600107000000	1669909615117000000
50	20221201	1669910021759000000	1669910081759000000	1669910098769000000
51	20221201	1669910715949000000	1669910775949000000	1669910819959000000
52	20221201	1669911223585000000	1669911283585000000	1669911300595000000
53	20221201	1669911769438000000	1669911829438000000	1669911844448000000
54	20221201	1669912153255000000	1669912213255000000	1669912230265000000
