discharge_nr	date	T0	T1	T6
1	20230119	1674114874437000000	1674114934437000000	1674114944137000000
2	20230119	1674115125754000000	1674115185754000000	1674115196654000000
3	20230119	1674115421064000000	1674115457064000000	1674115467964000000
4	20230119	1674115572800000000	1674115608800000000	1674115619700000000
5	20230119	1674115673860000000	1674115709860000000	1674115720760000000
6	20230119	1674115795554000000	1674115831554000000	1674115842454000000
7	20230119	1674116194508000000	1674116254508000000	1674116278324000000
8	20230119	1674116560666000000	1674116620666000000	1674116738676000000
9	20230119	1674117041374000000	1674117101374000000	1674117116384000000
10	20230119	1674117212015000000	1674117272015000000	1674117287025000000
11	20230119	1674117597561000000	1674117657561000000	1674117775571000000
12	20230119	1674118217876000000	1674118277876000000	1674118292886000000
13	20230119	1674118589210000000	1674118649210000000	1674118658910000000
14	20230119	1674118701204000000	1674118737204000000	1674118748104000000
15	20230119	1674118888397000000	1674118948397000000	1674118963407000000
16	20230119	1674119231746000000	1674119291746000000	1674119307256000000
17	20230119	1674119675441000000	1674119735441000000	1674119750951000000
18	20230119	1674120547612000000	1674120607612000000	1674120627122000000
19	20230119	1674121239182000000	1674121299182000000	1674121318692000000
20	20230119	1674122261502000000	1674122321502000000	1674122361012000000
21	20230119	1674122774510000000	1674122834510000000	1674122874020000000
22	20230119	1674123374983000000	1674123410983000000	1674123421883000000
23	20230119	1674123546236000000	1674123606236000000	1674123645746000000
24	20230119	1674124057108000000	1674124117108000000	1674124126808000000
25	20230119	1674124266032000000	1674124326032000000	1674124341542000000
26	20230119	1674125222567000000	1674125282567000000	1674125296577000000
27	20230119	1674126092260000000	1674126152260000000	1674126174270000000
28	20230119	1674126966193000000	1674127026193000000	1674127056703000000
29	20230119	1674127738195000000	1674127798195000000	1674127828705000000
30	20230119	1674128069116000000	1674128129116000000	1674128144448000000
31	20230119	1674129209167000000	1674129269167000000	1674129291177000000
32	20230119	1674130054361000000	1674130114361000000	1674130132687000000
33	20230119	1674130853522000000	1674130913522000000	1674130944032000000
34	20230119	1674131268261000000	1674131328261000000	1674131358771000000
35	20230119	1674136433063000000	1674136493063000000	1674136506864000000
36	20230119	1674136701101000000	1674136761101000000	1674136774902000000
37	20230119	1674137763095000000	1674137823095000000	1674137839096000000
38	20230119	1674138053200000000	1674138113200000000	1674138129201000000
39	20230119	1674138825096000000	1674138885096000000	1674138912397000000
40	20230119	1674139581038000000	1674139641038000000	1674139668339000000
41	20230119	1674140039223000000	1674140099223000000	1674140126524000000
42	20230119	1674140388526000000	1674140448526000000	1674140475827000000
43	20230119	1674141268438000000	1674141328438000000	1674141338754000000
44	20230119	1674141614002000000	1674141674002000000	1674141690303000000
45	20230119	1674142228636000000	1674142288636000000	1674142318937000000
46	20230119	1674143487130000000	1674143547130000000	1674143556406000000
47	20230119	1674143953370000000	1674144013370000000	1674144022656000000
48	20230119	1674144510313000000	1674144570313000000	1674144585632000000
49	20230119	1674145589824000000	1674145649824000000	1674145665625000000
