discharge_nr	date	T0	T1	T6
1	20221206	1670315304650000000	1670315364650000000	1670315375550000000
2	20221206	1670315552803000000	1670315612803000000	1670315623703000000
3	20221206	1670315832906000000	1670315892906000000	1670316046106000000
4	20221206	1670316108080000000	1670316168080000000	1670316177780000000
5	20221206	1670316363310000000	1670316423310000000	1670316432833000000
6	20221206	1670316530465000000	1670316590465000000	1670316601365000000
7	20221206	1670316772747000000	1670316832747000000	1670316873348000000
8	20221206	1670317381033000000	1670317441033000000	1670317475353000000
9	20221206	1670318069765000000	1670318129765000000	1670318192775000000
10	20221206	1670318485479000000	1670318545479000000	1670318608489000000
11	20221206	1670318738414000000	1670318798414000000	1670318861240000000
12	20221206	1670319366141000000	1670319426141000000	1670319489151000000
13	20221206	1670320092421000000	1670320152421000000	1670320174831000000
14	20221206	1670320982380000000	1670321042380000000	1670321071390000000
15	20221206	1670321702434000000	1670321762434000000	1670321770334000000
16	20221206	1670321849065000000	1670321909065000000	1670321938075000000
17	20221206	1670322513837000000	1670322573837000000	1670322597847000000
18	20221206	1670322758765000000	1670322818765000000	1670322842775000000
19	20221206	1670322961238000000	1670323021238000000	1670323045248000000
20	20221206	1670323119110000000	1670323179110000000	1670323203120000000
21	20221206	1670323275442000000	1670323335442000000	1670323359452000000
22	20221206	1670323458764000000	1670323518764000000	1670323542774000000
23	20221206	1670323813256000000	1670323878761000000	1670323887053000000
24	20221206	1670323963107000000	1670324093107000000	1670324104007000000
25	20221206	1670324459604000000	1670324519604000000	1670324543614000000
26	20221206	1670325531339000000	1670325591339000000	1670325614595000000
27	20221206	1670326298664000000	1670326358664000000	1670326382674000000
28	20221206	1670328042861000000	1670328102861000000	1670328112132000000
29	20221206	1670328779309000000	1670328839309000000	1670328850209000000
30	20221206	1670328971986000000	1670329031986000000	1670329080996000000
31	20221206	1670329553162000000	1670329613162000000	1670329624062000000
32	20221206	1670329729811000000	1670329789811000000	1670329838821000000
33	20221206	1670330001834000000	1670330061834000000	1670330072734000000
34	20221206	1670330266562000000	1670330326562000000	1670330335751000000
35	20221206	1670330448799000000	1670330508799000000	1670330518017000000
36	20221206	1670331325766000000	1670331385766000000	1670331395466000000
37	20221206	1670333131543000000	1670333191543000000	1670333205853000000
38	20221206	1670333881804000000	1670333941804000000	1670333960814000000
39	20221206	1670334717207000000	1670334777207000000	1670334796217000000
40	20221206	1670335527791000000	1670335587791000000	1670335606801000000
41	20221206	1670336365280000000	1670336425280000000	1670336433281000000
42	20221206	1670336747858000000	1670336807858000000	1670336826868000000
43	20221206	1670337167309000000	1670337227309000000	1670337246319000000
44	20221206	1670338126376000000	1670338186376000000	1670338205386000000
45	20221206	1670339114000000000	1670339174000000000	1670339186246000000
46	20221206	1670339770604000000	1670339830604000000	1670339849614000000
47	20221206	1670340598238000000	1670340658238000000	1670340696559000000
48	20221206	1670341551413000000	1670341611413000000	1670341680423000000
49	20221206	1670342873357000000	1670342933357000000	1670343042367000000
50	20221206	1670344593843000000	1670344653843000000	1670344832872000000
